更新时间: 2025-12-17 19:28:13（北京时间）

更新时间,#genre#
2025-12-17 19:28:13,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV6,http://61.159.134.134:18000/rtp/238.255.2.135:5999$贵州电信
CCTV6,http://116.9.0.196:4000/rtp/239.81.0.233:4056$广西电信
CCTV6,http://182.123.208.170:12345/rtp/225.1.4.160:1196$河南联通
CCTV6,http://115.171.216.39:4000/rtp/225.1.8.84:8000$北京市电信
CCTV6,http://112.254.55.106:22222/udp/239.253.254.193:8000$山东联通
CCTV6,http://123.117.161.44:8118/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://58.37.164.51:4000/udp/239.45.1.70:5140$上海市电信
CCTV6,http://113.213.97.251:6565/rtp/239.253.142.117:3000$吉林联通
CCTV6,http://106.87.49.127:8888/rtp/235.254.198.55:1496$重庆市电信
CCTV6,http://111.199.0.19:4022/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://39.65.207.32:1025/udp/239.253.254.193:8000$山东联通
CCTV7,http://61.159.134.134:18000/rtp/238.255.2.12:5999$贵州电信
CCTV7,http://116.9.0.196:4000/rtp/239.81.0.116:4056$广西电信
CCTV7,http://182.123.208.170:12345/rtp/225.1.4.76:1105$河南联通
CCTV7,http://115.171.216.39:4000/rtp/225.1.8.7:8104$北京市电信
CCTV7,http://112.254.55.106:22222/udp/239.253.254.233:8000$山东联通
CCTV7,http://123.117.161.44:8118/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://58.37.164.51:4000/udp/239.45.3.56:5140$上海市电信
CCTV7,http://113.213.97.251:6565/rtp/239.253.142.247:3000$吉林联通
CCTV7,http://106.87.49.127:8888/rtp/235.254.198.56:1500$重庆市电信
CCTV7,http://111.199.0.19:4022/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://39.65.207.32:1025/udp/239.253.254.233:8000$山东联通
CCTV8,http://61.159.134.134:18000/rtp/238.255.2.136:5999$贵州电信
CCTV8,http://116.9.0.196:4000/rtp/239.81.0.234:4056$广西电信
CCTV8,http://182.123.208.170:12345/rtp/225.1.4.161:1197$河南联通
CCTV8,http://115.171.216.39:4000/rtp/225.1.8.85:8000$北京市电信
CCTV8,http://112.254.55.106:22222/udp/239.253.254.194:8000$山东联通
CCTV8,http://123.117.161.44:8118/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://58.37.164.51:4000/udp/239.45.1.71:5140$上海市电信
CCTV8,http://113.213.97.251:6565/rtp/239.253.142.118:3000$吉林联通
CCTV8,http://106.87.49.127:8888/rtp/235.254.198.57:1504$重庆市电信
CCTV8,http://111.199.0.19:4022/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://39.65.207.32:1025/udp/239.253.254.194:8000$山东联通
CCTV9,http://61.159.134.134:18000/rtp/238.255.2.155:5999$贵州电信
CCTV9,http://116.9.0.196:4000/rtp/239.81.0.117:4056$广西电信
CCTV9,http://182.123.208.170:12345/rtp/225.1.4.77:1106$河南联通
CCTV9,http://115.171.216.39:4000/rtp/225.1.8.9:8112$北京市电信
CCTV9,http://112.254.55.106:22222/udp/239.253.254.79:8000$山东联通
CCTV9,http://123.117.161.44:8118/rtp/239.3.1.62:8112$北京市联通
CCTV9,http://58.37.164.51:4000/udp/239.45.3.4:5140$上海市电信
CCTV9,http://113.213.97.251:6565/rtp/239.253.142.203:3000$吉林联通
CCTV9,http://106.87.49.127:8888/rtp/235.254.198.58:1508$重庆市电信
