更新时间: 2026-09-24 22:27:35（北京时间）

更新时间,#genre#
广西卫视,http://144.123.220.47:80/wh7f454c46tw111685212_1092286008/2/00/CHANNEL00000038/2540800/1.m3u8
广西卫视,http://60.25.223.160:85/tsfile/live/173/1042.m3u8?key=txiptv
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
东南卫视,http://125.42.151.205:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://172.16.0.200:8008/paiptv/dnws.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
海南卫视,http://60.25.223.160:85/tsfile/live/185/1045.m3u8?key=txiptv
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
河北卫视,http://60.25.223.160:85/tsfile/live/149/1036.m3u8?key=txiptv
河北卫视,http://172.16.0.200:8008/paiptv/hbws1.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
河南卫视,http://60.25.223.160:85/tsfile/live/145/1035.m3u8?key=txiptv
河南卫视,http://125.42.151.205:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
湖北卫视,http://60.25.223.160:85/tsfile/live/125/1030.m3u8?key=txiptv
湖北卫视,http://125.42.151.205:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://172.16.0.200:8008/paiptv/hbws.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
江西卫视,http://60.25.223.160:85/tsfile/live/177/1043.m3u8?key=txiptv
江西卫视,http://125.42.151.205:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://172.16.0.200:8008/paiptv/jxws.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
四川卫视,http://60.25.223.160:85/tsfile/live/161/1039.m3u8?key=txiptv
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
重庆卫视,http://60.25.223.160:85/tsfile/live/165/1040.m3u8?key=txiptv
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
贵州卫视,http://60.25.223.160:85/tsfile/live/157/1038.m3u8?key=txiptv
贵州卫视,http://172.16.0.200:8008/paiptv/gzws.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
云南卫视,http://60.25.223.160:85/tsfile/live/153/1037.m3u8?key=txiptv
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
天津卫视,http://60.25.223.160:85/tsfile/live/5/1000.m3u8?key=txiptv
天津卫视,http://125.42.151.205:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://172.16.0.200:8008/paiptv/tjws.m3u8
安徽卫视,http://60.25.223.160:85/tsfile/live/169/1041.m3u8?key=txiptv
安徽卫视,http://125.42.151.205:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://172.16.0.200:8008/paiptv/ahws.m3u8
山东卫视,http://172.16.0.200:8008/paiptv/sdws.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
辽宁卫视,http://60.25.223.160:85/tsfile/live/129/1031.m3u8?key=txiptv
辽宁卫视,http://172.16.0.200:8008/paiptv/lnws.m3u8
黑龙江卫视,http://172.16.0.200:8008/paiptv/hljws.m3u8
吉林卫视,http://144.123.220.43:80/wh7f454c46tw3394797750_2100012903/2/00/CHANNEL00000036/2540800/1.m3u8
吉林卫视,http://60.25.223.160:85/tsfile/live/133/1032.m3u8?key=txiptv
宁夏卫视,http://144.123.220.43:80/wh7f454c46tw3596018626_1806805609/2/00/CHANNEL00000043/2540800/1.m3u8
陕西卫视,http://60.25.223.160:85/tsfile/live/193/1047.m3u8?key=txiptv
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
甘肃卫视,http://60.25.223.160:85/tsfile/live/181/1044.m3u8?key=txiptv
青海卫视,http://144.123.220.44:80/wh7f454c46tw3668958560_-1590177523/2/00/CHANNEL00000042/2540800/1.m3u8
新疆卫视,http://144.123.220.43:80/wh7f454c46tw3619216835_-1782766063/2/00/CHANNEL00000044/2540800/1.m3u8
山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
数字频道,#genre#
纪实人文,http://150.138.8.143/00/SNM/CHANNEL00000333/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
卡酷少儿,http://125.42.151.205:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://144.123.220.42:80/wh7f454c46tw141994439_-123240046/2/00/CHANNEL00000047/2540800/1.m3u8
金鹰卡通,http://125.42.151.205:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://172.16.0.200:8008/paiptv/jykt.m3u8
哈哈炫动,http://144.123.220.38:80/wh7f454c46tw184021769_1366609685/2/00/CHANNEL00000050/2540800/1.m3u8
嘉佳卡通,http://125.42.151.205:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
